hearing_locations; hearings; ; 1:1; A.hearing_id=B.id AND A.hearing_type='Hearing'; hearing_locations belongs to Hearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
hearing_locations; legacy_hearings; ; 1:1; A.hearing_id=B.id AND A.hearing_type='LegacyHearing'; hearing_locations belongs to LegacyHearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
hearing_views; hearings; ; 1:n; A.hearing_id=B.id AND A.hearing_type='Hearing'; hearing_views belongs to Hearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
hearing_views; legacy_hearings; ; 1:n; A.hearing_id=B.id AND A.hearing_type='LegacyHearing'; hearing_views belongs to LegacyHearing; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
available_hearing_locations; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; available_hearing_locations belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
available_hearing_locations; legacy_appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; available_hearing_locations belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
ihp_drafts; appeals; ; n:m; A.appeal_id=B.id AND A.appeal_type='Appeal'; ihp_drafts belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
ihp_drafts; legacy_appeals; ; n:m; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; ihp_drafts belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
job_notes; supplemental_claims; ; 1:n; A.job_id=B.id AND A.job_type='SupplementalClaim'; job_notes belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
job_notes; higher_level_reviews; ; 1:n; A.job_id=B.id AND A.job_type='HigherLevelReview'; job_notes belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
messages; supplemental_claims; ; 1:n; A.detail_id=B.id AND A.detail_type='SupplementalClaim'; messages belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
messages; higher_level_reviews; ; 1:n; A.detail_id=B.id AND A.detail_type='HigherLevelReview'; messages belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
ramp_issues; appeals; ; n:m; A.review_id=B.id AND A.review_type='Appeal'; ramp_issues belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
ramp_issues; supplemental_claims; ; n:m; A.review_id=B.id AND A.review_type='SupplementalClaim'; ramp_issues belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
